Código do município;Nome do município;Total de domicílios particulares ocupados;Total de domicílios particulares não-ocupados fechados;Total de domicílios particulares não-ocupados de uso ocasional;Total de domicílios particulares não-ocupados vagos;Total de domicílios particulares;Total de domicílios coletivos;Total de domicílios coletivos com morador;Total de domicílios coletivos sem morador;;;;;;
2609154;Manari;3.981;168;573;427;5.149;1;0;1;;;;;;
2609204;Maraial;3.075;12;138;628;3.853;28;8;20;;;;;;
2609303;Mirandiba;3.603;0;344;588;4.535;5;2;3;;;;;;
2614303;Moreilândia;2.945;0;135;737;3.817;8;8;0;;;;;;
2609402;Moreno;16.277;212;533;1.603;18.625;7;5;2;;;;;;
2609501;Nazaré da Mata;8.637;39;221;687;9.584;8;5;3;;;;;;
2609600;Olinda;110.408;2.494;1.437;9.615;123.954;116;53;63;;;;;;
2609709;Orobó;6.306;48;226;1.123;7.703;1;1;0;;;;;;
2609808;Orocó;3.347;52;307;537;4.243;3;1;2;;;;;;
2609907;Ouricuri;16.462;130;1.186;3.973;21.751;24;2;22;;;;;;
2610004;Palmares;15.523;15;377;1.994;17.909;18;7;11;;;;;;
2610103;Palmeirina;2.333;1;82;554;2.970;0;0;0;;;;;;
2610202;Panelas;7.272;27;543;1.552;9.394;3;1;2;;;;;;
2610301;Paranatama;3.109;24;45;510;3.688;0;0;0;;;;;;
2610400;Parnamirim;5.087;0;594;1.099;6.780;33;2;31;;;;;;
2610509;Passira;8.595;45;416;1.542;10.598;6;1;5;;;;;;
2610608;Paudalho;13.705;329;1.327;1.281;16.642;22;19;3;;;;;;
2610707;Paulista;87.199;3.559;4.828;11.421;107.007;35;18;17;;;;;;
2610806;Pedra;5.921;1;504;1.021;7.447;2;1;1;;;;;;
2610905;Pesqueira;18.311;135;961;2.917;22.324;19;12;7;;;;;;
2611002;Petrolândia;8.598;7;672;614;9.891;17;8;9;;;;;;
2611101;Petrolina;79.660;866;2.762;7.936;91.224;87;28;59;;;;;;
2611200;Poção;3.378;0;389;628;4.395;3;0;3;;;;;;
2611309;Pombos;7.224;14;519;1.022;8.779;6;1;5;;;;;;
2611408;Primavera;3.688;0;169;472;4.329;8;5;3;;;;;;
2611507;Quipapá;6.263;52;349;915;7.579;7;4;3;;;;;;
2611533;Quixaba;1.798;6;259;663;2.726;0;0;0;;;;;;
2611606;Recife;454.880;16.609;9.074;34.131;514.694;386;200;186;;;;;;
2611705;Riacho das Almas;5.987;38;728;1.562;8.315;1;1;0;;;;;;
2611804;Ribeirão;11.953;0;207;666;12.826;19;10;9;;;;;;
2611903;Rio Formoso;5.458;23;201;409;6.091;6;3;3;;;;;;
2612000;Sairé;3.553;18;729;496;4.796;5;1;4;;;;;;
2612109;Salgadinho;2.226;57;60;104;2.447;3;2;1;;;;;;
2612208;Salgueiro;15.075;0;738;1.079;16.892;256;14;242;;;;;;
2612307;Saloá;4.389;110;125;626;5.250;4;2;2;;;;;;
2612406;Sanharó;5.962;28;285;564;6.839;0;0;0;;;;;;
2612455;Santa Cruz;3.574;36;509;841;4.960;4;0;4;;;;;;
2612471;Santa Cruz da Baixa Verde;3.341;2;216;840;4.399;1;1;0;;;;;;
2612505;Santa Cruz do Capibaribe;24.999;996;1.022;2.229;29.246;40;20;20;;;;;;
2612554;Santa Filomena;3.569;42;556;798;4.965;0;0;0;;;;;;
2612604;Santa Maria da Boa Vista;9.548;258;671;1.773;12.250;99;5;94;;;;;;
2612703;Santa Maria do Cambucá;3.785;2;249;764;4.800;3;3;0;;;;;;
2612802;Santa Terezinha;3.020;0;309;679;4.008;2;1;1;;;;;;
2612901;São Benedito do Sul;3.192;0;153;190;3.535;5;1;4;;;;;;
2613008;São Bento do Una;14.086;604;518;1.268;16.476;6;3;3;;;;;;
2613107;São Caitano;10.594;127;1.160;1.137;13.018;6;1;5;;;;;;
2613206;São João;5.805;11;212;966;6.994;7;0;7;;;;;;
2613305;São Joaquim do Monte;6.180;20;409;1.287;7.896;3;3;0;;;;;;
2613404;São José da Coroa Grande;4.885;20;2.306;845;8.056;26;7;19;;;;;;
2613503;São José do Belmonte;8.812;7;606;1.930;11.355;12;1;11;;;;;;
2613602;São José do Egito;10.057;10;835;2.081;12.983;8;3;5;;;;;;
2613701;São Lourenço da Mata;30.216;138;1.098;2.505;33.957;12;4;8;;;;;;
2613800;São Vicente Ferrer;4.627;23;136;622;5.408;1;0;1;;;;;;
2613909;Serra Talhada;23.027;39;1.548;3.527;28.141;38;4;34;;;;;;
2614006;Serrita;4.417;0;410;990;5.817;2;0;2;;;;;;
2614105;Sertânia;9.397;338;814;1.771;12.320;76;5;71;;;;;;
2614204;Sirinhaém;9.887;134;757;660;11.438;20;9;11;;;;;;
2614402;Solidão;1.546;1;157;490;2.194;2;0;2;;;;;;
2614501;Surubim;17.010;517;889;1.948;20.364;18;7;11;;;;;;
2614600;Tabira;7.964;0;618;1.566;10.148;6;2;4;;;;;;
2614709;Tacaimbó;3.793;121;169;919;5.002;0;0;0;;;;;;
2614808;Tacaratu;5.737;0;490;893;7.120;2;1;1;;;;;;
2614857;Tamandaré;5.302;48;5.168;762;11.280;114;10;104;;;;;;
2615003;Taquaritinga do Norte;7.265;138;1.080;1.317;9.800;8;3;5;;;;;;
2615102;Terezinha;1.846;0;78;264;2.188;0;0;0;;;;;;
2615201;Terra Nova;2.372;57;133;258;2.820;0;0;0;;;;;;
2615300;Timbaúba;15.163;17;315;1.627;17.122;15;6;9;;;;;;
2615409;Toritama;10.025;182;297;748;11.252;4;1;3;;;;;;
2615508;Tracunhaém;3.649;0;83;465;4.197;0;0;0;;;;;;
2615607;Trindade;6.890;13;322;1.028;8.253;7;1;6;;;;;;
2615706;Triunfo;4.345;0;261;1.102;5.708;26;9;17;;;;;;
2615805;Tupanatinga;5.778;388;573;479;7.218;2;0;2;;;;;;
2615904;Tuparetama;2.593;0;219;339;3.151;7;2;5;;;;;;
2616001;Venturosa;4.514;16;174;557;5.261;1;0;1;;;;;;
2616100;Verdejante;2.425;0;213;532;3.170;3;1;2;;;;;;
2616183;Vertente do Lério;2.293;18;81;536;2.928;13;0;13;;;;;;
2616209;Vertentes;5.347;151;419;820;6.737;3;1;2;;;;;;
2616308;Vicência;8.059;37;136;687;8.919;0;0;0;;;;;;
2616407;Vitória de Santo Antão;38.908;735;1.044;4.276;44.963;22;10;12;;;;;;
2616506;Xexéu;3.659;14;126;651;4.450;1;1;0;;;;;;
Total;Pernambuco;2.505.480;46.466;143.417;294.211;2.989.574;3.388;1.103;2.285;;;;;;
Fonte: IBGE, Resultados do Censo 2010.;;;;;;;;;;;;;;;
